id,joules,dataset,algorithm,features,exp
117,12.185698,anon,lr,20f,anon_lr_20f_d
118,0.690672,anon,lr,10f,anon_lr_10f_d
119,0.701537,anon,lr,10f,anon_lr_10f_d
120,0.714658,anon,lr,10f,anon_lr_10f_d
121,0.900937,anon,lr,15f,anon_lr_15f_d
122,0.864255,anon,lr,15f,anon_lr_15f_d
123,0.876768,anon,lr,15f,anon_lr_15f_d
124,1.254819,anon,lr,20f,anon_lr_20f_d
125,1.3045,anon,lr,20f,anon_lr_20f_d
126,1.161679,anon,lr,20f,anon_lr_20f_d
127,3.497244,anon,lr,10f,anon_lr_10f_d
128,3.501212,anon,lr,10f,anon_lr_10f_d
129,3.549063,anon,lr,10f,anon_lr_10f_d
130,4.760668,anon,lr,15f,anon_lr_15f_d
131,4.902209,anon,lr,15f,anon_lr_15f_d
132,4.591114,anon,lr,15f,anon_lr_15f_d
133,5.809557,anon,lr,20f,anon_lr_20f_d
134,5.781113,anon,lr,20f,anon_lr_20f_d
135,5.805649,anon,lr,20f,anon_lr_20f_d
136,4.624743,anon,lr,10f,anon_lr_10f_d
137,4.525319,anon,lr,10f,anon_lr_10f_d
138,4.293934999999999,anon,lr,10f,anon_lr_10f_d
139,8.694253,anon,lr,15f,anon_lr_15f_d
140,8.909035,anon,lr,15f,anon_lr_15f_d
141,8.528177,anon,lr,15f,anon_lr_15f_d
142,12.816128,anon,lr,20f,anon_lr_20f_d
143,12.65878,anon,lr,20f,anon_lr_20f_d
144,12.015533,anon,lr,20f,anon_lr_20f_d
145,0.825743,anon,lr,10f,anon_lr_10f_d
146,0.808653,anon,lr,10f,anon_lr_10f_d
147,0.7938219999999999,anon,lr,10f,anon_lr_10f_d
148,0.905515,anon,lr,15f,anon_lr_15f_d
149,0.83563,anon,lr,15f,anon_lr_15f_d
150,0.849362,anon,lr,15f,anon_lr_15f_d
151,1.092832,anon,lr,20f,anon_lr_20f_d
152,1.075986,anon,lr,20f,anon_lr_20f_d
153,1.057675,anon,lr,20f,anon_lr_20f_d
154,1.727596,anon,lr,10f,anon_lr_10f_d
155,1.562863,anon,lr,10f,anon_lr_10f_d
156,1.7698319999999998,anon,lr,10f,anon_lr_10f_d
157,4.317372,anon,lr,15f,anon_lr_15f_d
158,4.256641,anon,lr,15f,anon_lr_15f_d
159,4.226185,anon,lr,15f,anon_lr_15f_d
160,5.908920999999999,anon,lr,20f,anon_lr_20f_d
161,5.858445,anon,lr,20f,anon_lr_20f_d
162,5.949204,anon,lr,20f,anon_lr_20f_d
163,8.152689,orig,lr,10f,orig_lr_10f_d
164,8.017558,orig,lr,10f,orig_lr_10f_d
165,7.821695999999999,orig,lr,10f,orig_lr_10f_d
166,33.616796,orig,lr,15f,orig_lr_15f_d
167,33.218909,orig,lr,15f,orig_lr_15f_d
168,33.736669,orig,lr,15f,orig_lr_15f_d
169,39.22573,orig,lr,20f,orig_lr_20f_d
170,39.896871,orig,lr,20f,orig_lr_20f_d
171,38.591149,orig,lr,20f,orig_lr_20f_d
172,1.762996,orig,lr,10f,orig_lr_10f_d
173,1.74963,orig,lr,10f,orig_lr_10f_d
174,1.871944,orig,lr,10f,orig_lr_10f_d
175,4.653919,orig,lr,15f,orig_lr_15f_d
176,4.253285,orig,lr,15f,orig_lr_15f_d
177,4.314625,orig,lr,15f,orig_lr_15f_d
178,4.126211,orig,lr,20f,orig_lr_20f_d
179,3.76177,orig,lr,20f,orig_lr_20f_d
180,3.670096,orig,lr,20f,orig_lr_20f_d
181,7.707805,orig,lr,10f,orig_lr_10f_d
182,7.772013999999999,orig,lr,10f,orig_lr_10f_d
183,7.522625,orig,lr,10f,orig_lr_10f_d
184,21.110237,orig,lr,15f,orig_lr_15f_d
185,20.034984,orig,lr,15f,orig_lr_15f_d
186,20.863473,orig,lr,15f,orig_lr_15f_d
187,19.740733,orig,lr,20f,orig_lr_20f_d
188,18.980909,orig,lr,20f,orig_lr_20f_d
189,18.503797,orig,lr,20f,orig_lr_20f_d
190,6.427290999999999,orig,lr,10f,orig_lr_10f_d
191,6.224716,orig,lr,10f,orig_lr_10f_d
192,6.846663,orig,lr,10f,orig_lr_10f_d
193,26.71972,orig,lr,15f,orig_lr_15f_d
194,27.209525,orig,lr,15f,orig_lr_15f_d
195,26.803031,orig,lr,15f,orig_lr_15f_d
196,28.187733,orig,lr,20f,orig_lr_20f_d
