id,joules,dataset,algorithm,features,exp
118,1.965388,anon,lr,10f,anon_lr_10f_a
119,2.04986,anon,lr,10f,anon_lr_10f_a
120,1.9951729999999999,anon,lr,10f,anon_lr_10f_a
121,3.2834999999999996,anon,lr,15f,anon_lr_15f_a
122,3.157403,anon,lr,15f,anon_lr_15f_a
123,3.121756,anon,lr,15f,anon_lr_15f_a
124,14.199121,anon,lr,20f,anon_lr_20f_a
125,14.212487999999999,anon,lr,20f,anon_lr_20f_a
126,12.604949,anon,lr,20f,anon_lr_20f_a
127,25.592585,anon,lr,10f,anon_lr_10f_a
128,25.585932999999997,anon,lr,10f,anon_lr_10f_a
129,25.901301,anon,lr,10f,anon_lr_10f_a
130,42.377883,anon,lr,15f,anon_lr_15f_a
131,36.360686,anon,lr,15f,anon_lr_15f_a
132,65.256912,anon,lr,15f,anon_lr_15f_a
133,30.568890999999997,anon,lr,20f,anon_lr_20f_a
134,26.996817999999998,anon,lr,20f,anon_lr_20f_a
135,27.034537999999998,anon,lr,20f,anon_lr_20f_a
136,87.18489699999999,anon,lr,10f,anon_lr_10f_a
137,90.750501,anon,lr,10f,anon_lr_10f_a
138,85.910241,anon,lr,10f,anon_lr_10f_a
139,110.68874199999999,anon,lr,15f,anon_lr_15f_a
140,102.928936,anon,lr,15f,anon_lr_15f_a
141,122.99816,anon,lr,15f,anon_lr_15f_a
142,142.927979,anon,lr,20f,anon_lr_20f_a
143,139.44153799999998,anon,lr,20f,anon_lr_20f_a
144,122.07543199999999,anon,lr,20f,anon_lr_20f_a
145,2.098016,anon,lr,10f,anon_lr_10f_a
146,2.046747,anon,lr,10f,anon_lr_10f_a
147,2.036066,anon,lr,10f,anon_lr_10f_a
148,2.291254,anon,lr,15f,anon_lr_15f_a
149,2.169245,anon,lr,15f,anon_lr_15f_a
150,2.204401,anon,lr,15f,anon_lr_15f_a
151,4.275685,anon,lr,20f,anon_lr_20f_a
152,4.3140149999999995,anon,lr,20f,anon_lr_20f_a
153,4.549733,anon,lr,20f,anon_lr_20f_a
154,13.689784,anon,lr,10f,anon_lr_10f_a
155,13.534267,anon,lr,10f,anon_lr_10f_a
156,13.715295999999999,anon,lr,10f,anon_lr_10f_a
157,23.548707,anon,lr,15f,anon_lr_15f_a
158,23.883117,anon,lr,15f,anon_lr_15f_a
159,21.908941,anon,lr,15f,anon_lr_15f_a
160,54.926251,anon,lr,20f,anon_lr_20f_a
161,52.804795999999996,anon,lr,20f,anon_lr_20f_a
162,52.347338,anon,lr,20f,anon_lr_20f_a
163,126.07243,orig,lr,10f,orig_lr_10f_a
164,139.353648,orig,lr,10f,orig_lr_10f_a
165,138.279065,orig,lr,10f,orig_lr_10f_a
166,170.799368,orig,lr,15f,orig_lr_15f_a
167,175.16196599999998,orig,lr,15f,orig_lr_15f_a
168,188.34796799999998,orig,lr,15f,orig_lr_15f_a
169,273.791902,orig,lr,20f,orig_lr_20f_a
170,258.341136,orig,lr,20f,orig_lr_20f_a
171,252.289332,orig,lr,20f,orig_lr_20f_a
172,4.241567,orig,lr,10f,orig_lr_10f_a
173,4.2728779999999995,orig,lr,10f,orig_lr_10f_a
174,7.8611249999999995,orig,lr,10f,orig_lr_10f_a
175,7.228740999999999,orig,lr,15f,orig_lr_15f_a
176,6.613874,orig,lr,15f,orig_lr_15f_a
177,6.497053999999999,orig,lr,15f,orig_lr_15f_a
178,6.357345,orig,lr,20f,orig_lr_20f_a
179,6.199326,orig,lr,20f,orig_lr_20f_a
180,6.190841,orig,lr,20f,orig_lr_20f_a
181,33.355565999999996,orig,lr,10f,orig_lr_10f_a
182,40.449237,orig,lr,10f,orig_lr_10f_a
183,33.441625,orig,lr,10f,orig_lr_10f_a
184,86.024377,orig,lr,15f,orig_lr_15f_a
185,80.081582,orig,lr,15f,orig_lr_15f_a
186,102.936139,orig,lr,15f,orig_lr_15f_a
187,98.297844,orig,lr,20f,orig_lr_20f_a
188,102.966594,orig,lr,20f,orig_lr_20f_a
189,120.81335,orig,lr,20f,orig_lr_20f_a
190,163.744331,orig,lr,10f,orig_lr_10f_a
191,163.785957,orig,lr,10f,orig_lr_10f_a
192,178.44259699999998,orig,lr,10f,orig_lr_10f_a
193,238.848021,orig,lr,15f,orig_lr_15f_a
194,228.50368699999999,orig,lr,15f,orig_lr_15f_a
195,249.373019,orig,lr,15f,orig_lr_15f_a
196,268.871198,orig,lr,20f,orig_lr_20f_a
197,263.820859,orig,lr,20f,orig_lr_20f_a
198,254.306783,orig,lr,20f,orig_lr_20f_a
199,4.012929,orig,lr,10f,orig_lr_10f_a
200,3.932546,orig,lr,10f,orig_lr_10f_a
201,3.9161279999999996,orig,lr,10f,orig_lr_10f_a
202,6.428328,orig,lr,15f,orig_lr_15f_a
203,5.5059059999999995,orig,lr,15f,orig_lr_15f_a
204,5.718247,orig,lr,15f,orig_lr_15f_a
205,16.437518999999998,orig,lr,20f,orig_lr_20f_a
206,15.652913999999999,orig,lr,20f,orig_lr_20f_a
