0,1,2,3,4,5,6,7
8.528177,anon,2,Logistic,10000r,15f,2,.csv
12.816127999999999,anon,2,Logistic,10000r,20f,0,.csv
12.65878,anon,2,Logistic,10000r,20f,1,.csv
12.015533,anon,2,Logistic,10000r,20f,2,.csv
0.825743,anon,2,Logistic,1000r,10f,0,.csv
0.808653,anon,2,Logistic,1000r,10f,1,.csv
0.7938219999999999,anon,2,Logistic,1000r,10f,2,.csv
0.905515,anon,2,Logistic,1000r,15f,0,.csv
0.83563,anon,2,Logistic,1000r,15f,1,.csv
0.849362,anon,2,Logistic,1000r,15f,2,.csv
1.092832,anon,2,Logistic,1000r,20f,0,.csv
1.0759859999999999,anon,2,Logistic,1000r,20f,1,.csv
1.057675,anon,2,Logistic,1000r,20f,2,.csv
1.727596,anon,2,Logistic,5000r,10f,0,.csv
1.562863,anon,2,Logistic,5000r,10f,1,.csv
1.7698319999999998,anon,2,Logistic,5000r,10f,2,.csv
4.317372,anon,2,Logistic,5000r,15f,0,.csv
4.256641,anon,2,Logistic,5000r,15f,1,.csv
4.226185,anon,2,Logistic,5000r,15f,2,.csv
5.908920999999999,anon,2,Logistic,5000r,20f,0,.csv
5.858445,anon,2,Logistic,5000r,20f,1,.csv
5.949204,anon,2,Logistic,5000r,20f,2,.csv
1279.669515,anon,2,RF,10000r,10f,0,.csv
1281.792189,anon,2,RF,10000r,10f,1,.csv
1268.273303,anon,2,RF,10000r,10f,2,.csv
1799.1278399999999,anon,2,RF,10000r,15f,0,.csv
1787.685303,anon,2,RF,10000r,15f,1,.csv
1787.226808,anon,2,RF,10000r,15f,2,.csv
2224.420515,anon,2,RF,10000r,20f,0,.csv
2218.3627899999997,anon,2,RF,10000r,20f,1,.csv
2209.6858709999997,anon,2,RF,10000r,20f,2,.csv
404.53009299999997,anon,2,RF,1000r,10f,0,.csv
398.156879,anon,2,RF,1000r,10f,1,.csv
404.86895899999996,anon,2,RF,1000r,10f,2,.csv
459.178634,anon,2,RF,1000r,15f,0,.csv
459.09281899999996,anon,2,RF,1000r,15f,1,.csv
452.717896,anon,2,RF,1000r,15f,2,.csv
456.52885999999995,anon,2,RF,1000r,20f,0,.csv
458.615586,anon,2,RF,1000r,20f,1,.csv
456.51262499999996,anon,2,RF,1000r,20f,2,.csv
698.185346,anon,2,RF,5000r,10f,0,.csv
701.8490949999999,anon,2,RF,5000r,10f,1,.csv
708.765215,anon,2,RF,5000r,10f,2,.csv
1112.598348,anon,2,RF,5000r,15f,0,.csv
