0,1,2,3,4,5,6,7
8.397074,anon,2,Logistic,10000r,15f,1,.csv
8.210611,anon,2,Logistic,10000r,15f,2,.csv
5.6378639999999995,anon,2,Logistic,10000r,20f,0,.csv
4.747974,anon,2,Logistic,10000r,20f,1,.csv
4.877733999999999,anon,2,Logistic,10000r,20f,2,.csv
0.828917,anon,2,Logistic,1000r,10f,0,.csv
0.820921,anon,2,Logistic,1000r,10f,1,.csv
0.833189,anon,2,Logistic,1000r,10f,2,.csv
0.7800889999999999,anon,2,Logistic,1000r,15f,0,.csv
0.779296,anon,2,Logistic,1000r,15f,1,.csv
0.8379489999999999,anon,2,Logistic,1000r,15f,2,.csv
0.6322019999999999,anon,2,Logistic,1000r,20f,0,.csv
0.633787,anon,2,Logistic,1000r,20f,1,.csv
0.5648179999999999,anon,2,Logistic,1000r,20f,2,.csv
4.802172,anon,2,Logistic,5000r,10f,0,.csv
4.809193,anon,2,Logistic,5000r,10f,1,.csv
4.8184689999999994,anon,2,Logistic,5000r,10f,2,.csv
6.100753,anon,2,Logistic,5000r,15f,0,.csv
5.922287,anon,2,Logistic,5000r,15f,1,.csv
5.909897,anon,2,Logistic,5000r,15f,2,.csv
6.621747999999999,anon,2,Logistic,5000r,20f,0,.csv
6.453596999999999,anon,2,Logistic,5000r,20f,1,.csv
6.764631,anon,2,Logistic,5000r,20f,2,.csv
635.8527429999999,anon,2,RF,10000r,10f,0,.csv
637.150529,anon,2,RF,10000r,10f,1,.csv
639.885813,anon,2,RF,10000r,10f,2,.csv
832.444219,anon,2,RF,10000r,15f,0,.csv
818.579203,anon,2,RF,10000r,15f,1,.csv
810.678467,anon,2,RF,10000r,15f,2,.csv
942.371551,anon,2,RF,10000r,20f,0,.csv
931.115292,anon,2,RF,10000r,20f,1,.csv
922.46291,anon,2,RF,10000r,20f,2,.csv
383.996575,anon,2,RF,1000r,10f,0,.csv
384.123163,anon,2,RF,1000r,10f,1,.csv
389.176066,anon,2,RF,1000r,10f,2,.csv
428.85254,anon,2,RF,1000r,15f,0,.csv
429.203063,anon,2,RF,1000r,15f,1,.csv
433.224477,anon,2,RF,1000r,15f,2,.csv
430.186766,anon,2,RF,1000r,20f,0,.csv
426.89917499999996,anon,2,RF,1000r,20f,1,.csv
424.81141199999996,anon,2,RF,1000r,20f,2,.csv
508.381756,anon,2,RF,5000r,10f,0,.csv
506.039904,anon,2,RF,5000r,10f,1,.csv
516.437399,anon,2,RF,5000r,10f,2,.csv
541.420184,anon,2,RF,5000r,15f,0,.csv
538.803492,anon,2,RF,5000r,15f,1,.csv
542.03151,anon,2,RF,5000r,15f,2,.csv
606.853183,anon,2,RF,5000r,20f,0,.csv
599.12847,anon,2,RF,5000r,20f,1,.csv
596.353088,anon,2,RF,5000r,20f,2,.csv
813.957145,idle,0,.csv,,,,
797.1056259999999,idle,1,.csv,,,,
795.4124539999999,idle,2,.csv,,,,
1.003966,orig,1,KNN,10000r,10f,0,.csv
0.9652689999999999,orig,1,KNN,10000r,10f,1,.csv
0.966368,orig,1,KNN,10000r,10f,2,.csv
1.468197,orig,1,KNN,10000r,15f,0,.csv
1.472226,orig,1,KNN,10000r,15f,1,.csv
1.392819,orig,1,KNN,10000r,15f,2,.csv
1.8041939999999999,orig,1,KNN,10000r,20f,0,.csv
1.7455399999999999,orig,1,KNN,10000r,20f,1,.csv
1.8345289999999999,orig,1,KNN,10000r,20f,2,.csv
0.172728,orig,1,KNN,1000r,10f,0,.csv
0.19927899999999998,orig,1,KNN,1000r,10f,1,.csv
0.176391,orig,1,KNN,1000r,10f,2,.csv
0.209106,orig,1,KNN,1000r,15f,0,.csv
0.175292,orig,1,KNN,1000r,15f,1,.csv
0.173462,orig,1,KNN,1000r,15f,2,.csv
0.267212,orig,1,KNN,1000r,20f,0,.csv
0.22472999999999999,orig,1,KNN,1000r,20f,1,.csv
0.23083499999999998,orig,1,KNN,1000r,20f,2,.csv
0.526489,orig,1,KNN,5000r,10f,0,.csv
0.46423299999999995,orig,1,KNN,5000r,10f,1,.csv
0.46807699999999997,orig,1,KNN,5000r,10f,2,.csv
0.701048,orig,1,KNN,5000r,15f,0,.csv
0.645323,orig,1,KNN,5000r,15f,1,.csv
0.6422709999999999,orig,1,KNN,5000r,15f,2,.csv
0.916014,orig,1,KNN,5000r,20f,0,.csv
0.896482,orig,1,KNN,5000r,20f,1,.csv
0.9283429999999999,orig,1,KNN,5000r,20f,2,.csv
440.45626999999996,orig,1,Logistic,10000r,10f,0,.csv
451.479984,orig,1,Logistic,10000r,10f,1,.csv
441.43557599999997,orig,1,Logistic,10000r,10f,2,.csv
722.4548149999999,orig,1,Logistic,10000r,15f,0,.csv
717.5925239999999,orig,1,Logistic,10000r,15f,1,.csv
708.286089,orig,1,Logistic,10000r,15f,2,.csv
748.613257,orig,1,Logistic,10000r,20f,0,.csv
729.030727,orig,1,Logistic,10000r,20f,1,.csv
735.7334079999999,orig,1,Logistic,10000r,20f,2,.csv
8.83799,orig,1,Logistic,1000r,10f,0,.csv
8.819251999999999,orig,1,Logistic,1000r,10f,1,.csv
8.709572999999999,orig,1,Logistic,1000r,10f,2,.csv
10.919772,orig,1,Logistic,1000r,15f,0,.csv
11.22397,orig,1,Logistic,1000r,15f,1,.csv
11.039399999999999,orig,1,Logistic,1000r,15f,2,.csv
16.74599,orig,1,Logistic,1000r,20f,0,.csv
14.778099,orig,1,Logistic,1000r,20f,1,.csv
15.709311,orig,1,Logistic,1000r,20f,2,.csv
193.084893,orig,1,Logistic,5000r,10f,0,.csv
212.944829,orig,1,Logistic,5000r,10f,1,.csv
209.40186799999998,orig,1,Logistic,5000r,10f,2,.csv
248.416113,orig,1,Logistic,5000r,15f,0,.csv
273.914338,orig,1,Logistic,5000r,15f,1,.csv
250.719573,orig,1,Logistic,5000r,15f,2,.csv
343.696997,orig,1,Logistic,5000r,20f,0,.csv
324.038294,orig,1,Logistic,5000r,20f,1,.csv
323.22146299999997,orig,1,Logistic,5000r,20f,2,.csv
844.167151,orig,1,RF,10000r,10f,0,.csv
838.941822,orig,1,RF,10000r,10f,1,.csv
847.9649929999999,orig,1,RF,10000r,10f,2,.csv
932.154535,orig,1,RF,10000r,15f,0,.csv
931.289181,orig,1,RF,10000r,15f,1,.csv
910.5344729999999,orig,1,RF,10000r,15f,2,.csv
